Zone;min;max;mean;median;quartile;max_quartile;std;pixel_count;5;95;thresh;thresh%
organoid;255;255;255.0;255.0;255.0;255.0;0.0;986;255.0;255.0;986;100
background;255;255;255.0;255.0;255.0;255.0;0.0;124;255.0;255.0;124;100
