Zone;min;max;mean;median;quartile;max_quartile;std;pixel_count;5;95;thresh;thresh%
organoid;1;255;160.61071257771403;189.0;72.0;255.0;93.74517266714207;2091;9.0;255.0;1596;76
background;1;255;31.13101604278075;11.0;5.0;38.0;44.79592009212358;4488;1.0;115.0;623;13
