Zone;min;max;mean;median;quartile;max_quartile;std;pixel_count;5;95;thresh;thresh%
organoid;42;103;75.00682885189927;76.0;69.0;82.0;9.595086298012761;2343;58.0;89.0;1996;85
background;40;114;65.6752698263726;65.0;60.0;70.0;7.800458622761263;23441;54.0;79.0;12480;53
