Zone;min;max;mean;median;quartile;max_quartile;std;pixel_count;5;95;thresh;thresh%
organoid;255;255;255.0;255.0;255.0;255.0;0.0;1394;255.0;255.0;1394;100
background;255;255;255.0;255.0;255.0;255.0;0.0;241;255.0;255.0;241;100
