Zone;min;max;mean;median;quartile;max_quartile;std;pixel_count;5;95;thresh;thresh%
organoid;255;255;255.0;255.0;255.0;255.0;0.0;1474;255.0;255.0;1474;100
background;255;255;255.0;255.0;255.0;255.0;0.0;253;255.0;255.0;253;100
