Step;Algorithm;Parameters
1;Original Image;{}
2;gaussian_blur;{7}
3;threshold_filter;{59, 255}
4;tresholding;{1, 255}
5;bitwise;{'MASK'}
6;non_local_means_denoising;{6, 7, 21}
7;threshold_yen;{}
8;remove_small_objects;{32}
9;median_blur;{5}
